from to amstar_level
A406 RW268 "moderate quality"
A531 RW268 "moderate quality"
A664 RW268 "moderate quality"
A727 RW268 "moderate quality"
A258 RW269 "moderate quality"
A287 RW269 "moderate quality"
A342 RW269 "moderate quality"
A405 RW269 "moderate quality"
A63 RW269 "moderate quality"
A425 RW27 "low quality"
A542 RW27 "low quality"
A175 RW270 "low quality"
A198 RW270 "low quality"
A43 RW270 "low quality"
A53 RW270 "low quality"
A237 RW273 "high quality"
A275 RW273 "high quality"
A284 RW273 "high quality"
A343 RW273 "high quality"
A389 RW273 "high quality"
A414 RW273 "high quality"
A502 RW273 "high quality"
A534 RW273 "high quality"
A59 RW273 "high quality"
A663 RW273 "high quality"
A87 RW273 "high quality"
A243 RW276 "moderate quality"
A246 RW276 "moderate quality"
A507 RW276 "moderate quality"
A554 RW276 "moderate quality"
A123 RW28 "moderate quality"
A321 RW28 "moderate quality"
A322 RW28 "moderate quality"
A336 RW28 "moderate quality"
A408 RW28 "moderate quality"
A641 RW28 "moderate quality"
A647 RW28 "moderate quality"
A693 RW28 "moderate quality"
A216 RW280 "high quality"
A247 RW280 "high quality"
A314 RW280 "high quality"
A385 RW280 "high quality"
A88 RW280 "high quality"
A175 RW283 "low quality"
A181 RW283 "low quality"
A632 RW283 "low quality"
A66 RW283 "low quality"
A138 RW284 "moderate quality"
A245 RW284 "moderate quality"
A444 RW284 "moderate quality"
A56 RW284 "moderate quality"
A572 RW284 "moderate quality"
A598 RW284 "moderate quality"
A115 RW285 "moderate quality"
A389 RW285 "moderate quality"
A390 RW285 "moderate quality"
A216 RW286 "low quality"
A440 RW286 "low quality"
A449 RW286 "low quality"
A89 RW286 "low quality"
A216 RW287 "low quality"
A440 RW287 "low quality"
A449 RW287 "low quality"
A89 RW287 "low quality"
A216 RW288 "moderate quality"
A27 RW288 "moderate quality"
A474 RW288 "moderate quality"
A657 RW288 "moderate quality"
A108 RW289 "moderate quality"
A216 RW289 "moderate quality"
A320 RW289 "moderate quality"
A657 RW289 "moderate quality"
A89 RW289 "moderate quality"
A169 RW29 "high quality"
A321 RW29 "high quality"
A322 RW29 "high quality"
A333 RW29 "high quality"
A336 RW29 "high quality"
A465 RW29 "high quality"
A668 RW29 "high quality"
A673 RW29 "high quality"
A676 RW29 "high quality"
A734 RW29 "high quality"
A95 RW29 "high quality"
A216 RW290 "moderate quality"
A27 RW290 "moderate quality"
A320 RW290 "moderate quality"
A657 RW290 "moderate quality"
A460 RW291 "moderate quality"
A624 RW291 "moderate quality"
A626 RW291 "moderate quality"
A656 RW291 "moderate quality"
A56 RW294 "moderate quality"
A57 RW294 "moderate quality"
A572 RW294 "moderate quality"
A660 RW294 "moderate quality"
A101 RW298 "moderate quality"
A435 RW298 "moderate quality"
A486 RW298 "moderate quality"
A486 RW298 "moderate quality"
A552 RW298 "moderate quality"
